source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_item,31391,30816,43,Programme_Category__c,nvarchar,125,.40%,24,🟡 low
raw.salesforce_item,31391,30816,44,Special_Message__c,nvarchar,30795,98.10%,15,🔴 high
raw.salesforce_item,31391,30816,45,Stipulation_Temp__c,nvarchar,28589,91.07%,3,🔴 high
raw.salesforce_item,31391,30816,46,Product__c,nvarchar,28234,89.94%,646,🔴 high
raw.salesforce_item,31391,30816,47,HA_Donation_Frequency__c,nvarchar,1789,5.70%,2,🟠 medium
raw.salesforce_item,31391,30816,48,Item_Price__c,nvarchar,31248,99.54%,60,🔴 high
raw.salesforce_item,31391,30816,49,Price_Editable__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,50,Stipulation__c,nvarchar,1621,5.16%,6,🟠 medium
raw.salesforce_item,31391,30816,51,Sponsored_Orphan_Only__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,52,Skip_Special_Instruction__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,53,Regional_Office_Code__c,nvarchar,1964,6.26%,11,🟠 medium
raw.salesforce_item,31391,30816,54,Total_Credit__c,nvarchar,2569,8.18%,10,🟠 medium
raw.salesforce_item,31391,30816,55,Total_Funds_Available__c,nvarchar,0,.00%,6968,✅ clean
raw.salesforce_item,31391,30816,56,Is_Sponsorship_Renewal__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,57,Deliverable_Category__c,nvarchar,12745,40.60%,17,🔴 high
raw.salesforce_item,31391,30816,58,Parent_Item__c,nvarchar,25396,80.90%,1232,🔴 high
raw.salesforce_item,31391,30816,59,Clone_Item_Id__c,nvarchar,30571,97.39%,808,🔴 high
raw.salesforce_item,31391,30816,60,Available_Funds_Excluding_Active_RDs__c,nvarchar,31391,100.00%,0,🔴 high
raw.salesforce_item,31391,30816,61,Campaign__c,nvarchar,13148,41.88%,18046,🔴 high
raw.salesforce_item,31391,30816,62,Exclude_from_Bulk_update__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_item,31391,30816,63,Field_office_admin_percentage__c,nvarchar,29157,92.88%,5,🔴 high
raw.salesforce_item,31391,30816,64,Fundraising_admin_percentage__c,nvarchar,29249,93.18%,18,🔴 high
raw.salesforce_item,31391,30816,65,General_Admin_Percentage__c,nvarchar,29132,92.80%,22,🔴 high
raw.salesforce_item,31391,30816,66,Income_Zakat_Credit__c,nvarchar,3682,11.73%,1626,🟠 medium
raw.salesforce_item,31391,30816,67,Income_sadaqa_general_charity_credit__c,nvarchar,3683,11.73%,7162,🟠 medium
raw.salesforce_item,31391,30816,68,Instruction_Non_Zakat__c,nvarchar,0,.00%,1178,✅ clean
raw.salesforce_item,31391,30816,69,Instruction_Zakat_credit__c,nvarchar,0,.00%,592,✅ clean
raw.salesforce_item,31391,30816,70,Non_Zakat_Instruction_Debit__c,nvarchar,0,.00%,3177,✅ clean
raw.salesforce_item,31391,30816,71,Opening_Balance_Non_Zakat__c,nvarchar,22778,72.56%,30,🔴 high
